epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.028,0.70986,1.7519,0.00627,0.71207,0.83687,0.8343,0.7626,0.4449,0.8857,0.00522,0.000331707,0.000331707,0.067161
2,102.354,0.54631,0.85608,0.0048,0.868,0.89069,0.94197,0.87993,0.39734,0.46421,0.00461,0.000648581,0.000648581,0.0341445
3,152.219,0.52809,0.67227,0.00467,0.88855,0.90902,0.95228,0.88039,0.39976,0.44215,0.00465,0.000948954,0.000948954,0.00111156
4,201.705,0.50897,0.5932,0.00455,0.90749,0.87954,0.96897,0.90399,0.38492,0.39909,0.00443,0.00092575,0.00092575,0.00092575
5,250.934,0.50856,0.52212,0.00445,0.9216,0.90373,0.96174,0.89999,0.38268,0.36443,0.00452,0.000901,0.000901,0.000901
6,299.929,0.5012,0.49307,0.00441,0.8839,0.88494,0.96252,0.8967,0.38696,0.39552,0.00455,0.00087625,0.00087625,0.00087625
7,349.126,0.48784,0.43828,0.00431,0.90142,0.95051,0.96986,0.89642,0.39262,0.33101,0.00466,0.0008515,0.0008515,0.0008515
8,398.643,0.48359,0.44023,0.00425,0.92008,0.91175,0.9713,0.88936,0.44496,0.35869,0.00539,0.00082675,0.00082675,0.00082675
9,448.328,0.48701,0.4149,0.00418,0.94756,0.92106,0.97735,0.91697,0.36036,0.28245,0.00424,0.000802,0.000802,0.000802
10,497.996,0.48303,0.39076,0.00424,0.95551,0.94311,0.98411,0.91343,0.39596,0.28057,0.00463,0.00077725,0.00077725,0.00077725
11,548.106,0.46626,0.3616,0.00402,0.94239,0.95756,0.98464,0.91553,0.37913,0.24443,0.00442,0.0007525,0.0007525,0.0007525
12,598.491,0.46452,0.3494,0.00404,0.95979,0.94331,0.98251,0.92409,0.36223,0.26751,0.00428,0.00072775,0.00072775,0.00072775
13,648.739,0.46842,0.34611,0.00413,0.94713,0.95896,0.98145,0.90925,0.39748,0.25148,0.00474,0.000703,0.000703,0.000703
14,699.188,0.46751,0.32452,0.0041,0.94139,0.94998,0.97846,0.91799,0.36001,0.25133,0.00423,0.00067825,0.00067825,0.00067825
15,749.524,0.45197,0.31036,0.00386,0.96715,0.97113,0.98955,0.92618,0.36469,0.20234,0.00418,0.0006535,0.0006535,0.0006535
16,799.277,0.45671,0.28793,0.00388,0.95235,0.95882,0.98528,0.92546,0.35424,0.22415,0.00417,0.00062875,0.00062875,0.00062875
17,848.752,0.43846,0.27193,0.00377,0.97606,0.97038,0.99061,0.927,0.36473,0.1952,0.00429,0.000604,0.000604,0.000604
18,898.376,0.44491,0.27357,0.00379,0.95811,0.97881,0.98799,0.93282,0.34898,0.19877,0.00408,0.00057925,0.00057925,0.00057925
19,947.846,0.44928,0.26653,0.00398,0.97287,0.97469,0.99065,0.93565,0.34603,0.19429,0.00403,0.0005545,0.0005545,0.0005545
20,997.059,0.43453,0.26249,0.00376,0.96438,0.96329,0.98747,0.93597,0.34272,0.20467,0.00401,0.00052975,0.00052975,0.00052975
21,1047.07,0.4188,0.23181,0.00362,0.97976,0.96704,0.98993,0.92147,0.36959,0.19404,0.00435,0.000505,0.000505,0.000505
22,1097.14,0.43653,0.24261,0.00379,0.98794,0.97209,0.9914,0.93835,0.34573,0.18055,0.00402,0.00048025,0.00048025,0.00048025
23,1147.44,0.41555,0.23338,0.00355,0.97719,0.97461,0.99093,0.93004,0.35914,0.1767,0.00421,0.0004555,0.0004555,0.0004555
24,1197.15,0.40752,0.22867,0.00348,0.97837,0.97836,0.99188,0.9465,0.32035,0.16593,0.00366,0.00043075,0.00043075,0.00043075
25,1246.36,0.40774,0.23626,0.00346,0.96867,0.95935,0.98966,0.93248,0.35386,0.20212,0.0041,0.000406,0.000406,0.000406
26,1295.48,0.41796,0.23307,0.00358,0.9717,0.96826,0.98972,0.93211,0.34906,0.18708,0.00411,0.00038125,0.00038125,0.00038125
27,1344.73,0.41445,0.22474,0.00361,0.97523,0.96792,0.99011,0.94263,0.32058,0.17564,0.00368,0.0003565,0.0003565,0.0003565
28,1394.24,0.4094,0.23709,0.00352,0.9784,0.9757,0.99128,0.94544,0.31406,0.16608,0.00361,0.00033175,0.00033175,0.00033175
29,1443.62,0.40075,0.21815,0.0034,0.96874,0.98446,0.99101,0.94568,0.32453,0.16925,0.00372,0.000307,0.000307,0.000307
30,1492.94,0.41119,0.21427,0.0035,0.98376,0.97319,0.99061,0.93495,0.35598,0.17411,0.00413,0.00028225,0.00028225,0.00028225
31,1539.96,0.34197,0.17042,0.00384,0.97331,0.98044,0.9897,0.94197,0.32354,0.17263,0.00371,0.0002575,0.0002575,0.0002575
32,1586.96,0.33138,0.14782,0.00367,0.98562,0.97814,0.99102,0.9448,0.32325,0.16264,0.00368,0.00023275,0.00023275,0.00023275
33,1634.25,0.32294,0.14686,0.00357,0.98378,0.98207,0.99223,0.93874,0.33397,0.1682,0.00382,0.000208,0.000208,0.000208
