epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6549,0.72301,1.57318,0.00626,0.74395,0.78677,0.86626,0.77881,0.49787,0.89838,0.00596,0.000331707,0.000331707,0.067161
2,130.294,0.61978,0.79009,0.00547,0.8519,0.86924,0.92618,0.82989,0.52061,0.54061,0.0062,0.000648581,0.000648581,0.0341445
3,177.608,0.60507,0.61763,0.00521,0.84554,0.91152,0.94211,0.84188,0.50327,0.43782,0.00606,0.000948954,0.000948954,0.00111156
4,224.54,0.58773,0.56385,0.00504,0.89244,0.89396,0.96205,0.88443,0.41766,0.38779,0.00487,0.00092575,0.00092575,0.00092575
5,271.932,0.5749,0.52252,0.00501,0.89762,0.9197,0.96243,0.8837,0.42273,0.36205,0.00494,0.000901,0.000901,0.000901
6,319.073,0.55264,0.49879,0.00479,0.92903,0.88822,0.96873,0.89143,0.44103,0.3551,0.00513,0.00087625,0.00087625,0.00087625
7,365.703,0.562,0.46405,0.00493,0.92652,0.91639,0.97133,0.87931,0.46102,0.34515,0.0055,0.0008515,0.0008515,0.0008515
8,412.798,0.5709,0.42508,0.00489,0.92503,0.95146,0.98032,0.9012,0.41029,0.28786,0.00474,0.00082675,0.00082675,0.00082675
9,459.782,0.53697,0.39503,0.00471,0.94301,0.93922,0.98475,0.91463,0.38948,0.26855,0.00454,0.000802,0.000802,0.000802
10,506.918,0.5366,0.37543,0.00462,0.96724,0.94551,0.98759,0.91267,0.42797,0.24332,0.00498,0.00077725,0.00077725,0.00077725
11,554.052,0.52126,0.36543,0.00447,0.95184,0.93368,0.98366,0.91503,0.38076,0.27211,0.00438,0.0007525,0.0007525,0.0007525
12,601.727,0.52127,0.37925,0.00457,0.93919,0.93754,0.97978,0.90752,0.40296,0.27737,0.00475,0.00072775,0.00072775,0.00072775
13,649.038,0.50756,0.36099,0.00433,0.92379,0.93981,0.98266,0.92325,0.35556,0.27871,0.00412,0.000703,0.000703,0.000703
14,696.495,0.49994,0.33889,0.00422,0.9387,0.95841,0.98507,0.92398,0.37192,0.24111,0.00437,0.00067825,0.00067825,0.00067825
15,743.604,0.49542,0.33276,0.0043,0.9745,0.94676,0.988,0.92663,0.36944,0.23055,0.00431,0.0006535,0.0006535,0.0006535
16,790.525,0.48138,0.32281,0.00412,0.96687,0.94627,0.98804,0.92372,0.37673,0.22885,0.00435,0.00062875,0.00062875,0.00062875
17,837.607,0.4921,0.3158,0.00417,0.93888,0.98329,0.98969,0.93936,0.33783,0.21051,0.00385,0.000604,0.000604,0.000604
18,884.67,0.47014,0.30476,0.00396,0.96614,0.94512,0.98981,0.92623,0.38306,0.2158,0.00438,0.00057925,0.00057925,0.00057925
19,931.779,0.48845,0.31169,0.00407,0.96185,0.95892,0.98893,0.92943,0.36949,0.21849,0.00427,0.0005545,0.0005545,0.0005545
20,978.451,0.46791,0.2933,0.00399,0.93677,0.96489,0.98344,0.92363,0.36095,0.23944,0.00423,0.00052975,0.00052975,0.00052975
21,1025.61,0.47217,0.29323,0.00408,0.95067,0.96484,0.98913,0.92903,0.35698,0.21754,0.00416,0.000505,0.000505,0.000505
22,1072.89,0.46496,0.2873,0.00388,0.92905,0.98124,0.98856,0.93834,0.34224,0.21017,0.00398,0.00048025,0.00048025,0.00048025
23,1119.96,0.45614,0.27009,0.0038,0.95205,0.94716,0.98756,0.93665,0.33741,0.20954,0.00388,0.0004555,0.0004555,0.0004555
24,1167.22,0.473,0.26054,0.00396,0.95034,0.95353,0.98618,0.92339,0.36445,0.22055,0.00425,0.00043075,0.00043075,0.00043075
25,1214.51,0.45246,0.25135,0.00377,0.96451,0.9566,0.98906,0.92676,0.36959,0.20367,0.0044,0.000406,0.000406,0.000406
26,1262.19,0.43385,0.24994,0.00365,0.95688,0.96818,0.98993,0.94474,0.32605,0.19202,0.00376,0.00038125,0.00038125,0.00038125
27,1310,0.43608,0.24147,0.00366,0.96693,0.96323,0.98989,0.94592,0.32533,0.19329,0.00376,0.0003565,0.0003565,0.0003565
28,1357.52,0.43785,0.24983,0.00371,0.97458,0.968,0.98972,0.93597,0.33872,0.1932,0.00394,0.00033175,0.00033175,0.00033175
29,1404.84,0.4428,0.2526,0.00375,0.95256,0.97616,0.98771,0.93622,0.32915,0.19827,0.00381,0.000307,0.000307,0.000307
30,1451.85,0.42723,0.23637,0.00365,0.96426,0.95771,0.98803,0.93769,0.33538,0.20126,0.00388,0.00028225,0.00028225,0.00028225
31,1496.93,0.34417,0.18016,0.00372,0.96901,0.96875,0.99007,0.93825,0.3462,0.19632,0.00398,0.0002575,0.0002575,0.0002575
32,1541.8,0.33412,0.17048,0.00362,0.96258,0.96509,0.9906,0.94265,0.33026,0.19157,0.00381,0.00023275,0.00023275,0.00023275
33,1586.33,0.33767,0.16107,0.00367,0.98047,0.96231,0.99146,0.95056,0.31581,0.18501,0.00365,0.000208,0.000208,0.000208
34,1630.99,0.32995,0.1639,0.00349,0.98268,0.9646,0.9924,0.94847,0.32524,0.17173,0.00376,0.00018325,0.00018325,0.00018325
35,1676.02,0.32826,0.1536,0.00358,0.98534,0.97186,0.99248,0.94498,0.3262,0.16954,0.00378,0.0001585,0.0001585,0.0001585
36,1720.61,0.3193,0.15046,0.0034,0.98764,0.9777,0.99317,0.95018,0.31349,0.15959,0.00363,0.00013375,0.00013375,0.00013375
37,1765.43,0.31918,0.15363,0.00339,0.9826,0.97188,0.99208,0.94697,0.32298,0.17342,0.00374,0.000109,0.000109,0.000109
