epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7337,0.74487,1.65007,0.00652,0.7706,0.83575,0.89532,0.81377,0.4656,0.71938,0.00543,0.000331707,0.000331707,0.067161
2,101.329,0.63029,0.80024,0.00552,0.8703,0.82996,0.92337,0.835,0.48196,0.53687,0.00575,0.000648581,0.000648581,0.0341445
3,151.249,0.57395,0.71165,0.00498,0.91338,0.84385,0.95263,0.87888,0.41973,0.43201,0.00501,0.000948954,0.000948954,0.00111156
4,200.782,0.55712,0.58566,0.00489,0.92132,0.8884,0.96245,0.89915,0.37928,0.38997,0.00442,0.00092575,0.00092575,0.00092575
5,250.205,0.56019,0.57715,0.00481,0.87481,0.90686,0.95955,0.8773,0.45468,0.38993,0.00541,0.000901,0.000901,0.000901
6,299.637,0.54455,0.51777,0.00482,0.93931,0.91647,0.97224,0.89942,0.40896,0.32717,0.00478,0.00087625,0.00087625,0.00087625
7,349.045,0.53386,0.47238,0.00458,0.94652,0.92136,0.97873,0.91061,0.38827,0.31844,0.00459,0.0008515,0.0008515,0.0008515
8,399.262,0.53231,0.47583,0.00466,0.93463,0.94428,0.97868,0.89189,0.44635,0.32116,0.00526,0.00082675,0.00082675,0.00082675
9,449.74,0.52906,0.43188,0.00463,0.94125,0.95752,0.98037,0.90823,0.39904,0.28449,0.00474,0.000802,0.000802,0.000802
10,499.724,0.5076,0.40762,0.00436,0.94555,0.92614,0.98253,0.91354,0.38348,0.28857,0.00448,0.00077725,0.00077725,0.00077725
11,549.322,0.50525,0.38572,0.00433,0.96266,0.94182,0.97723,0.90281,0.39259,0.27831,0.00456,0.0007525,0.0007525,0.0007525
12,599.117,0.50219,0.40885,0.00434,0.90342,0.95159,0.97616,0.90551,0.40359,0.29829,0.00476,0.00072775,0.00072775,0.00072775
13,648.583,0.49468,0.39448,0.00422,0.95674,0.92234,0.98483,0.90901,0.40821,0.27266,0.00484,0.000703,0.000703,0.000703
14,698.075,0.51105,0.37234,0.00429,0.94056,0.94854,0.98419,0.90941,0.41057,0.26343,0.00472,0.00067825,0.00067825,0.00067825
15,747.549,0.4993,0.34818,0.00428,0.9619,0.94981,0.98458,0.92251,0.36101,0.23931,0.00419,0.0006535,0.0006535,0.0006535
16,796.426,0.5018,0.32906,0.00425,0.96467,0.95715,0.98791,0.92453,0.3711,0.22847,0.00429,0.00062875,0.00062875,0.00062875
17,846.311,0.48177,0.33114,0.00409,0.96122,0.94101,0.98343,0.92495,0.35612,0.24972,0.00414,0.000604,0.000604,0.000604
18,896.725,0.47338,0.32892,0.00391,0.94593,0.95999,0.98685,0.91914,0.37785,0.22427,0.00434,0.00057925,0.00057925,0.00057925
19,946.908,0.4799,0.31379,0.00406,0.93813,0.94938,0.98695,0.93103,0.36212,0.234,0.00425,0.0005545,0.0005545,0.0005545
20,996.541,0.47804,0.30271,0.00407,0.97393,0.95334,0.98822,0.93315,0.36188,0.22614,0.00423,0.00052975,0.00052975,0.00052975
21,1046.38,0.47394,0.31378,0.00408,0.94638,0.96974,0.98856,0.93466,0.34548,0.21131,0.00403,0.000505,0.000505,0.000505
