metric,n_seeds,mean,standard_deviation,minimum,maximum,ci95_lower_descriptive,ci95_upper_descriptive
test_precision,5,0.9783640335992185,0.013970222955223655,0.956555073402875,0.9934183454082001,0.9610204915808478,0.9957075756175893
test_recall,5,0.9708550351697391,0.016813772635170605,0.9418601914853673,0.9825643426231411,0.9499813259154157,0.9917287444240626
test_mAP50,5,0.9912592199012252,0.004255811250305114,0.9840703937927242,0.9940447933922281,0.985975779437999,0.9965426603644515
test_mAP50_95,5,0.9514902646923791,0.005355120730069263,0.9426399987904396,0.9557014568557939,0.9448420700505981,0.9581384593341601
