epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8539,0.71671,1.58518,0.0062,0.69223,0.81729,0.87369,0.80868,0.41542,0.79724,0.00468,0.000331707,0.000331707,0.067161
2,100.053,0.61387,0.82963,0.00525,0.83561,0.83653,0.92144,0.83258,0.482,0.57964,0.00577,0.000648581,0.000648581,0.0341445
3,148.533,0.57522,0.64958,0.00492,0.94032,0.85974,0.95646,0.87874,0.4313,0.41755,0.00517,0.000948954,0.000948954,0.00111156
4,197.016,0.56527,0.6195,0.00484,0.78728,0.92098,0.96163,0.88394,0.42477,0.71665,0.00497,0.00092575,0.00092575,0.00092575
5,245.554,0.54741,0.52851,0.00463,0.93407,0.91494,0.97872,0.89265,0.4445,0.34435,0.00527,0.000901,0.000901,0.000901
6,294.14,0.54287,0.50238,0.00464,0.89931,0.92973,0.96939,0.90795,0.38157,0.36371,0.00448,0.00087625,0.00087625,0.00087625
7,342.418,0.54505,0.45081,0.00472,0.94087,0.93253,0.97493,0.90795,0.39001,0.29834,0.00451,0.0008515,0.0008515,0.0008515
8,390.97,0.54836,0.42597,0.00472,0.91773,0.95014,0.97562,0.90994,0.38084,0.28737,0.0045,0.00082675,0.00082675,0.00082675
9,439.685,0.52984,0.39588,0.00453,0.9278,0.93883,0.97149,0.89971,0.39093,0.31633,0.00456,0.000802,0.000802,0.000802
10,488.256,0.4966,0.37904,0.00428,0.95424,0.93725,0.97884,0.9037,0.41432,0.27343,0.00489,0.00077725,0.00077725,0.00077725
11,536.703,0.49711,0.37281,0.00423,0.96807,0.95251,0.98574,0.91846,0.38745,0.25796,0.00452,0.0007525,0.0007525,0.0007525
12,585.206,0.51706,0.37582,0.00438,0.97179,0.92763,0.98419,0.92971,0.34782,0.25701,0.00405,0.00072775,0.00072775,0.00072775
13,633.797,0.50944,0.34622,0.00432,0.95979,0.96912,0.98841,0.92163,0.37899,0.2244,0.00445,0.000703,0.000703,0.000703
14,682.932,0.51027,0.35612,0.00443,0.9587,0.95501,0.98532,0.90984,0.39958,0.24443,0.00465,0.00067825,0.00067825,0.00067825
15,731.814,0.47861,0.32073,0.00407,0.94093,0.9541,0.97918,0.9102,0.39484,0.27105,0.00459,0.0006535,0.0006535,0.0006535
16,780.566,0.47927,0.3073,0.00408,0.9513,0.96497,0.98892,0.93549,0.34593,0.22282,0.00402,0.00062875,0.00062875,0.00062875
17,829.602,0.47234,0.29989,0.00399,0.97241,0.95654,0.9895,0.92707,0.36914,0.20582,0.00428,0.000604,0.000604,0.000604
18,878.429,0.4727,0.29522,0.00399,0.97075,0.96052,0.99036,0.93601,0.35385,0.19828,0.00411,0.00057925,0.00057925,0.00057925
19,926.886,0.48255,0.28735,0.00406,0.97523,0.95653,0.9895,0.93347,0.355,0.20625,0.00414,0.0005545,0.0005545,0.0005545
20,975.841,0.49068,0.28838,0.00416,0.9638,0.95272,0.98864,0.93414,0.34121,0.22086,0.00393,0.00052975,0.00052975,0.00052975
21,1024.17,0.47281,0.26476,0.00388,0.98196,0.97526,0.99247,0.94187,0.34071,0.17651,0.00394,0.000505,0.000505,0.000505
22,1072.98,0.44567,0.27734,0.00377,0.97255,0.96913,0.99206,0.9447,0.33102,0.17533,0.00379,0.00048025,0.00048025,0.00048025
23,1121.9,0.44835,0.27069,0.00377,0.97692,0.96619,0.99192,0.9416,0.33146,0.18163,0.00384,0.0004555,0.0004555,0.0004555
24,1170.83,0.45272,0.26584,0.00387,0.95049,0.97719,0.99052,0.93513,0.34574,0.1933,0.00398,0.00043075,0.00043075,0.00043075
25,1219.42,0.43957,0.2506,0.00367,0.97895,0.97707,0.99264,0.94259,0.33503,0.1738,0.00386,0.000406,0.000406,0.000406
26,1268.21,0.44157,0.25295,0.00366,0.98091,0.97727,0.99282,0.94104,0.33608,0.16692,0.00391,0.00038125,0.00038125,0.00038125
27,1317.18,0.43399,0.24629,0.00362,0.96616,0.96013,0.98942,0.94335,0.32647,0.20063,0.00377,0.0003565,0.0003565,0.0003565
28,1365.63,0.42178,0.23731,0.0036,0.97739,0.97424,0.9928,0.94165,0.34011,0.17393,0.00395,0.00033175,0.00033175,0.00033175
29,1414.71,0.42005,0.22968,0.00357,0.97299,0.96557,0.99154,0.94409,0.32488,0.18039,0.00373,0.000307,0.000307,0.000307
30,1463.5,0.42808,0.2355,0.0036,0.97426,0.98145,0.99334,0.943,0.3319,0.16531,0.00386,0.00028225,0.00028225,0.00028225
31,1509.66,0.34402,0.17043,0.00371,0.96219,0.97498,0.99087,0.93579,0.34155,0.19261,0.00399,0.0002575,0.0002575,0.0002575
32,1557.33,0.33558,0.16029,0.00363,0.98633,0.9731,0.99175,0.94632,0.32562,0.16889,0.00375,0.00023275,0.00023275,0.00023275
33,1604.73,0.32922,0.16166,0.00354,0.97294,0.97629,0.99167,0.94653,0.32647,0.17417,0.00376,0.000208,0.000208,0.000208
34,1652.31,0.31902,0.15514,0.00342,0.97719,0.98003,0.98892,0.94592,0.31483,0.17209,0.0036,0.00018325,0.00018325,0.00018325
35,1700,0.32163,0.15344,0.00346,0.97296,0.97852,0.98952,0.94322,0.32008,0.1681,0.00369,0.0001585,0.0001585,0.0001585
36,1747.36,0.32474,0.15037,0.00346,0.98684,0.97737,0.99019,0.94518,0.31857,0.15943,0.00365,0.00013375,0.00013375,0.00013375
37,1794.67,0.31544,0.14591,0.00338,0.97864,0.97879,0.98957,0.94463,0.32012,0.1622,0.00368,0.000109,0.000109,0.000109
38,1841.47,0.30996,0.14396,0.00332,0.98386,0.97427,0.9898,0.9481,0.31522,0.15809,0.00362,8.425e-05,8.425e-05,8.425e-05
39,1888.26,0.31204,0.144,0.00331,0.9818,0.97208,0.98973,0.94843,0.3108,0.16094,0.00357,5.95e-05,5.95e-05,5.95e-05
40,1935.38,0.3051,0.14084,0.00323,0.98234,0.97008,0.98948,0.94802,0.31297,0.16409,0.0036,3.475e-05,3.475e-05,3.475e-05
