epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9054,0.75072,1.56943,0.00654,0.65074,0.83906,0.88437,0.78123,0.55976,0.86871,0.0067,0.000331707,0.000331707,0.067161
2,102.336,0.58808,0.81145,0.00512,0.83485,0.85456,0.92155,0.84971,0.41043,0.51853,0.00471,0.000648581,0.000648581,0.0341445
3,152.241,0.58568,0.67277,0.00507,0.82929,0.87826,0.93336,0.87621,0.37321,0.49779,0.00426,0.000948954,0.000948954,0.00111156
4,201.542,0.54375,0.59738,0.00462,0.86223,0.8995,0.95634,0.88666,0.40242,0.43395,0.00467,0.00092575,0.00092575,0.00092575
5,251.654,0.5331,0.51752,0.00465,0.9065,0.88009,0.96188,0.90747,0.3716,0.3651,0.00431,0.000901,0.000901,0.000901
6,301.497,0.5525,0.51471,0.00481,0.91612,0.92274,0.96787,0.90381,0.38284,0.36086,0.00443,0.00087625,0.00087625,0.00087625
7,351.424,0.49792,0.44464,0.00432,0.92511,0.94614,0.9794,0.91899,0.36608,0.29154,0.00426,0.0008515,0.0008515,0.0008515
8,400.892,0.51288,0.43581,0.00452,0.95251,0.93531,0.98288,0.9191,0.39389,0.28104,0.00455,0.00082675,0.00082675,0.00082675
9,450.341,0.51416,0.43879,0.00443,0.95961,0.91859,0.98221,0.92386,0.35628,0.30277,0.00413,0.000802,0.000802,0.000802
10,499.677,0.48903,0.4496,0.00432,0.92894,0.95528,0.97998,0.91163,0.40879,0.28107,0.00481,0.00077725,0.00077725,0.00077725
11,548.861,0.50613,0.41718,0.00436,0.95088,0.94496,0.98237,0.89709,0.44987,0.27193,0.00538,0.0007525,0.0007525,0.0007525
12,598.342,0.49679,0.38588,0.00424,0.94494,0.9363,0.98326,0.91735,0.37533,0.25797,0.00441,0.00072775,0.00072775,0.00072775
13,647.673,0.47435,0.37075,0.00402,0.9541,0.94859,0.97968,0.9172,0.36692,0.27268,0.0042,0.000703,0.000703,0.000703
14,697.028,0.48576,0.36864,0.00419,0.94029,0.95408,0.98416,0.92321,0.36699,0.24513,0.00434,0.00067825,0.00067825,0.00067825
15,746.142,0.48128,0.35085,0.00409,0.91455,0.94158,0.98055,0.93299,0.33073,0.26718,0.0038,0.0006535,0.0006535,0.0006535
16,795.04,0.47608,0.34669,0.00402,0.95502,0.9603,0.98504,0.92238,0.3668,0.23972,0.00432,0.00062875,0.00062875,0.00062875
17,844.476,0.47547,0.32681,0.00402,0.9726,0.95337,0.98992,0.92497,0.37437,0.20932,0.00438,0.000604,0.000604,0.000604
18,893.549,0.46811,0.32314,0.00403,0.9688,0.96719,0.99032,0.93992,0.33654,0.19304,0.00386,0.00057925,0.00057925,0.00057925
19,943.013,0.45889,0.31284,0.00388,0.95984,0.95528,0.98841,0.93542,0.34976,0.2239,0.00409,0.0005545,0.0005545,0.0005545
20,992.188,0.46296,0.31885,0.00395,0.97524,0.95676,0.98789,0.9282,0.36473,0.21011,0.00429,0.00052975,0.00052975,0.00052975
21,1041.57,0.44394,0.29018,0.0037,0.97812,0.95702,0.99005,0.93545,0.3379,0.19858,0.00391,0.000505,0.000505,0.000505
22,1091.63,0.44296,0.28742,0.00375,0.9628,0.95422,0.98929,0.94514,0.3245,0.20051,0.00375,0.00048025,0.00048025,0.00048025
23,1141.56,0.44122,0.28583,0.00367,0.95403,0.9657,0.98913,0.92933,0.36522,0.21386,0.0043,0.0004555,0.0004555,0.0004555
24,1191.01,0.43822,0.26842,0.00366,0.97047,0.95712,0.98908,0.94504,0.32894,0.19876,0.00381,0.00043075,0.00043075,0.00043075
25,1240.25,0.43514,0.25874,0.00368,0.93807,0.95151,0.98176,0.93602,0.32846,0.22082,0.00379,0.000406,0.000406,0.000406
26,1289.72,0.43048,0.26084,0.00356,0.95556,0.95709,0.98573,0.93422,0.33837,0.21627,0.0039,0.00038125,0.00038125,0.00038125
27,1338.8,0.41898,0.26199,0.00356,0.9671,0.94522,0.98581,0.94016,0.3302,0.2218,0.00382,0.0003565,0.0003565,0.0003565
28,1388.26,0.42258,0.25416,0.00356,0.94738,0.96447,0.98676,0.93995,0.32791,0.21123,0.0038,0.00033175,0.00033175,0.00033175
29,1437.94,0.41015,0.23913,0.00348,0.97046,0.95462,0.98853,0.9428,0.32514,0.19711,0.00374,0.000307,0.000307,0.000307
30,1487.39,0.41725,0.25023,0.0035,0.91733,0.93428,0.97684,0.9297,0.32543,0.25692,0.00376,0.00028225,0.00028225,0.00028225
31,1534.31,0.3401,0.17994,0.00372,0.90764,0.93269,0.97049,0.91837,0.3419,0.26346,0.00399,0.0002575,0.0002575,0.0002575
32,1581.19,0.33937,0.18038,0.00372,0.93766,0.94397,0.97803,0.93189,0.32859,0.23372,0.00379,0.00023275,0.00023275,0.00023275
33,1628.07,0.32173,0.17056,0.00351,0.96332,0.94529,0.9869,0.94627,0.31578,0.20346,0.00362,0.000208,0.000208,0.000208
34,1675.44,0.32129,0.16842,0.00341,0.96889,0.95953,0.98828,0.94652,0.31714,0.19237,0.00365,0.00018325,0.00018325,0.00018325
35,1722.79,0.31874,0.16944,0.00345,0.97706,0.97152,0.98989,0.94763,0.31853,0.1748,0.00367,0.0001585,0.0001585,0.0001585
36,1770.41,0.31802,0.16035,0.00342,0.95806,0.97772,0.98961,0.94869,0.31857,0.18699,0.00366,0.00013375,0.00013375,0.00013375
37,1817.72,0.31762,0.16582,0.00342,0.94843,0.96253,0.986,0.94444,0.3166,0.19777,0.00364,0.000109,0.000109,0.000109
38,1864.61,0.30865,0.16382,0.00328,0.94058,0.96249,0.98225,0.94392,0.30774,0.21191,0.00353,8.425e-05,8.425e-05,8.425e-05
39,1911.72,0.30295,0.1603,0.00325,0.95636,0.95986,0.98331,0.94258,0.30854,0.20498,0.00353,5.95e-05,5.95e-05,5.95e-05
40,1958.88,0.30358,0.1503,0.00327,0.95297,0.9623,0.98463,0.94554,0.3116,0.20192,0.00356,3.475e-05,3.475e-05,3.475e-05
